Event,Place,Winner,Win,Date,Year
192,1,01-7-8-2-9,17829,23-03-2013,2013
192,2,09-0-2-6-9,90269,23-03-2013,2013
192,3,27-2-1-9-3,272193,23-03-2013,2013
192,4,27-7-8-5-3,277853,23-03-2013,2013
192,5,07-1-5-2-2,71522,23-03-2013,2013
192,6,11-3-1-3-6,113136,23-03-2013,2013
192,7,05-3-5-1-3,53513,23-03-2013,2013
193,1,16-2-3-6-7,162367,22-06-2013,2013
193,2,09-3-2-9-4,93294,22-06-2013,2013
193,3,11-0-6-1-2,110612,22-06-2013,2013
193,4,23-4-3-7-0,234370,22-06-2013,2013
193,5,26-0-3-8-9,260389,22-06-2013,2013
193,6,33-2-9-4-4,332944,22-06-2013,2013
193,7,28-4-8-0-5,284805,22-06-2013,2013
194,1,28-3-9-3-6,283936,21-09-2013,2013
194,2,21-5-6-5-9,215659,21-09-2013,2013
194,3,26-0-7-1-7,260717,21-09-2013,2013
194,4,14-0-3-8-5,140385,21-09-2013,2013
194,5,22-9-6-3-8,229638,21-09-2013,2013
194,6,04-2-5-8-4,42584,21-09-2013,2013
194,7,08-9-2-1-2,89212,21-09-2013,2013
195,1,34-9-5-8-0,349580,21-12-2013,2013
195,2,09-3-8-4-4,93844,21-12-2013,2013
195,3,12-7-2-2-9,127229,21-12-2013,2013
195,4,34-7-9-0-1,347901,21-12-2013,2013
195,5,35-2-1-1-6,352116,21-12-2013,2013
195,6,27-6-1-0-6,276106,21-12-2013,2013
195,7,24-4-9-6-8,244968,21-12-2013,2013
196,1,18-5-0-8-4,185084,4/5/2014,2014
196,2,11-1-9-5-9,111959,4/5/2014,2014
196,3,01-1-9-9-9,11999,4/5/2014,2014
196,4,10-9-5-1-7,109517,4/5/2014,2014
196,5,06-2-7-4-4,62744,4/5/2014,2014
196,6,29-1-2-0-2,291202,4/5/2014,2014
196,7,07-3-4-8-1,73481,4/5/2014,2014
197,1,26-8-6-6-7,268667,27-09-2014,2014
197,2,01-7-3-9-6,17396,27-09-2014,2014
197,3,10-7-6-3-0,107630,27-09-2014,2014
197,4,16-9-0-1-9,169019,27-09-2014,2014
197,5,16-2-4-8-8,162488,27-09-2014,2014
197,6,26-1-7-3-1,261731,27-09-2014,2014
197,7,23-1-0-6-9,231069,27-09-2014,2014
198,1,18-9-1-4-0,189140,20-12-2014,2014
198,2,28-3-0-7-9,283079,20-12-2014,2014
198,3,16-2-0-2-1,162021,20-12-2014,2014
198,4,19-5-3-2-6,195326,20-12-2014,2014
198,5,24-8-1-2-1,248121,20-12-2014,2014
198,6,11-7-1-7-7,117177,20-12-2014,2014
198,7,07-1-7-6-5,71765,20-12-2014,2014
199,1,16-9-1-1-7,169117,20-06-2015,2015
199,2,26-3-0-9-3,263093,20-06-2015,2015
199,3,12-9-1-8-7,129187,20-06-2015,2015
